,id,job_title,company_name,job_location,requirements,salary,indeed_url,job_description,date_posted,company_url,,,
10,e449c513c4fb5dd5,"Software Developer - GeoNorth Information Systems, LLC",The Tatitlek Corporation,,,,https://www.indeed.com/rc/clk?jk=e449c513c4fb5dd5&fccid=685a58df8c8d2aed&vjs=3,"HPC resources may include the use of a local HPC compute grid, commercial cloud, supercomputer(s) and/or a hybrid approach..Support daily activity as required.",30+ days ago,https://www.indeed.com/cmp/The-Tatitlek-Corporation,,,
11,295976fa3d695c9f,Database Developer,Bering Straits Native Corporation,,,,https://www.indeed.com/rc/clk?jk=295976fa3d695c9f&fccid=f6819b4f967bb5f4&vjs=3,Good written and oral communication skills..Establish appropriate database access control levels..Work directly with infrastructure lead to design and implement…,4 days ago,https://www.indeed.com/cmp/Bering-Straits-Native-Corporation,,,
12,87430361927917b6,MULESOFT Developer with Informatica (REMOTE) Only GC and US...,Aptivar Inc,,,$45 - $50 an hour,https://www.indeed.com/company/Advanz101-Systems-Pvt-Ltd/jobs/Mulesoft-Developer-Informatica-Only-Gc-US-Citizen-87430361927917b6?fccid=9d0e67e32bd08134&vjs=3,We are looking for MuleSoft developer with Informatica exp..A job for which military experienced candidates are encouraged to apply.,29 days ago,https://www.indeed.com,,,
13,f7f3ef393898c1f4,Senior IT Developer,Cook Inlet Housing Authority,,,"$85,000 - $117,000 a year",https://www.indeed.com/rc/clk?jk=f7f3ef393898c1f4&fccid=36323d93cd945aee&vjs=3,"5 years experience in software application design and development..Manage all aspects of the software development life cycle, including analysis, design,…",30+ days ago,https://www.indeed.com/cmp/Cook-Inlet-Housing-Authority,,,
14,1d9588bceca057e2,Post Doctoral Fellow – Embedded Systems Design for Airborne...,University of Alaska,,,,https://www.indeed.com/rc/clk?jk=1d9588bceca057e2&fccid=494f2a1e40a826b6&vjs=3,"The successful candidate will have a strong background in the area of embedded systems design and signal processing, and strong experience in designing embedded…",30+ days ago,https://www.indeed.com/cmp/University-of-Alaska,,,
15,f1a7773c06a0db4f,JavaScript Software Developer - US Remote,Vision Media,United States,Software development: 4 years,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJ_NiDUn25TsccfMtQS5fdjkwEhZVGunI1iGscaADDmblPPsgmlKlNt3A6Znn0EoHSSSvmQdJ5Y4RaClq6Fspb882sSGncK2k12gzxVw6By1Rvmy4WFeUKQYg4BJw1ERIbMekuamGrwy6THSi0TpZ2VRfGbIgqyIkqGc8BdhRc2NQWSQw1iXJXtYiYUGUmISn9qSC8wVLDDaoGL14aKZgXmu5BMNyPvR5bGCmBOvW2xAwwiZgmPHb-JNU3gnjZQoOZZaXl3rnr4zvNFl1Y_asNZ8CjKx2dpGaI439jK2jbZly9XccwCFJtM_9H7qeCvTtn_fI3JhoH_A_6x8cnXQmnl23dyXRIASygJXSAy1dNApUw6ngOurf0yLBjyFMPktPMez0JEQ8TnCjtqCK6V3iwipNd3DYMZmytr73RQPzcCwOtItMTtOBwLr6jnmgdMVZbuFUL6PSuD9WaWdB1CNF9Jv7ItuWOCNM=&p=15&fvj=1&vjs=3,Vision Media is looking for a software developer with extensive JavaScript experience and excellent software development skills to join a focused and agile team…,5 days ago,https://www.indeed.com/cmp/Vision-Media,,,
16,c76f9d3d2d57b170,Principal Software Engineer,Pearson,"Juneau, AK",,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BCdNI_FJjlMFYz3b45-OYr8D0rw9t4m3m-4WuOcSOVB1O9RPtOLpnYrlAWgG3b_6NBYq4r48y8YCF5GWJwU0EvZGEmdH61fUBwQExmwvnl4qJTJHjcZ9UNXyLbzP49IiT2u9_9ck2aUwP3UF-LY_MqKEhgjvc8lkDnVDtnO8tJW84ZCR8J4hmXpTp3yV82ifseJOTSSrln2-4EMO-CrXEC1rKDADrsnn3QNpgfQN_is3Vq5OAuaDIBH9pbK4rpL2xCA9NaKZjezi2W8ivdZ5WuoaytH3fN8oJkCni_wLuUk0yIoRnC4y1kVWyJ7bYm2pciD0hca-SY0GeO3BjfBqM0qJnsXYDsvGRcSrq4VyYXXPnWhXGsDc29HABqpJUGpTLD1Zpmh5xOXzlu2dYBK0q7IKbxbEhjUohvQGiFNgY5N9yUWBCgwvM5Tdk8U9BqRPkQESOFpPmXWXBiQGwWYV9pKTqmjnijDPcsJy4L3gA0SlMFjSRGoURod4L8fbsdkIiKjmFj98AlagJv0yJ058A5BEr2JwEzjnD2Mpl1f87wsCefqGjQVA1nzaA_Jfj4J52okCYoT2KsSYVxzk90zW8QalG_k7TXPZZXpSCKHOyf_YW1xKaSkHbdcff2gAK8uRc=&p=16&fvj=0&vjs=3,"+ **Helps establish and enhance development policies, procedures, and standards and enforces their implementation upon their team of developers;**.",Today,https://www.indeed.com/cmp/Pearson,,,
17,e308cdd7c9c27d6f,Co-op Software Engineer,Abaco Systems,"Huntsville, AL 35802",,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFWpVZcLz5D95c8Fl0py_03Oyok2SWHsSc27yglk3DvWLeJbMacUo-BNx12OGaDYOMjekoUUDgr50rHFpEG7iJgIQlqShi-bLRKLMdGghd1Qq7IilvPTd8vbdbLjXzE7ZjQH0UNHNKr3LUi0dAbwzT62DWWisXF6yby3XgoZHV1AQ_ABE6VFPjG3GrEMJjMepwEFV4cn4xzl2WAoS0JB4GWJrf4wQzxj9wMvvT9TpqLr6FSApd45zscRwSxVaZPPzFTXHprYZfm6zQ4hXblDWuQbINXHY5kacCcE1yRMFgYxXPvs69o-dpwyXpKONSrh67HCJ0B5vnqYv6TS-p-vqzCYQWrK6n1_6bdiAzEgpRRlrF2gK1o9izRXG00bazNuz8_3tuDy6fc2ViCYh5FXGqzXjMl3sCUDYfQYgAaQ2JzLF31glrsQXjkVIJzdb5QFsH8nysVGJLD8qSHauEQeYibsXOvNYTJ-vC3VKldcHbsqBPTw0gdl0iSzaPO4aJnBL6hnJUU9JBC1GOHg5AXyTTFelDANuqG6g8xBr2FgCiHbnvJ45DZ9QpHCGZiH26uyK3C5vGw2s95g==&p=0&fvj=0&vjs=3,Strong oral and written communication skills (written and verbal)..Port reference code to original microcontrollers and SOCs..Must be a US Citizen.,30+ days ago,https://www.indeed.com/cmp/Abaco-Systems,,,
18,f7037cd335f4cc0f,Software Developer (XML/Web Services),"Array Information Technology, Inc.","Montgomery, AL 36104",,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPzwcFkEglKa9dV9ZZ_lO0kGY2pYwYw_lU4uOM0wsXJYlfxBHkl10vdPXfZ7ex1PvxvRcYSJoWRuuRifjrE-7tYbi1zkLmB2K8L51w6kY-uyuGo0yD0x-7uvRI1Jb6RcYnzFLpqPwG6zOU9fHBdyBg1fiPJKUMgsDeyBHIewZSYeEf5jlkBUEL4vDSUA9RYQJgYUp5ZCZdUa_jnq9ng9pqcG_RwYOBeyopdf4EjSscnc1GH-_tL8gTRE44lMfvlo3dW5GeP2V5wkbCYojE7e6VSlwSv5IxcJaxmX7HDy3bxiyuieakuj2M-Zm_kVn3cELR8dX5c6ZzTzfW-5ykEx6w2qLUnvG89l1N7xiQGudo_RJwEtcwDxutHzgu3R6FNYjEVKpekmphju87K2M7kLqG0rhNlIMYm45-Y3oh4QTVfCJlonFQw2qs_kXYf5mZR7FNGofu_4l6KMOM5PaAVWqtSSN3YMgE-2CVjq04tJTBB3lSW0XAibVBAoH7ZrAYb9pXQH5HM_NI_9KyEY9HvN0NvrnORhBiVoGGv5pchziP9TFzdl_z93xI&p=1&fvj=0&vjs=3,"Bachelor's degree in Computer Science, Information Systems, or other technical degree with 3-5 years of experience (or 5-7 years of experience without degree)…",13 days ago,https://www.indeed.com,,,
19,318ef6d9a54a5f95,Software Developer,Tripoint Solutions,"Huntsville, AL 35806",Bachelor's,,https://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A5ruOaBgM4JFPmi95QvnuPZDRD-cuMqiXSk5iFgiXMM5KlnLmWo71mmeaOoOgOIU7kOzITj_sGavdTRQxIj40LBtuD8zAPTZYS5x5KDkrhntAIRoPaoJmdEFaAsHWU0gHpVq4uAI7VRe7QrADi6Jg9m9_lpG5vRH7O4CjBfSPRQblx8K-9Nd_2BSGPcAIApfdi6VY98Ca0Yjuu1Sfh5cNn3VBKLLXr5ZfjmwWKSnVMq28xqpLmg385r_ISu6dsmLNYNc2-0l9msUgyHmfvyy_wZBDHaffisvKdFl_8nQBfPEkL_HW8NfqcydCuZhERhY0lnFHsH-IE95s82rVhVn_kiKF-bsydZS0YnGUzizriOctRx_ih6uxgX-aAe-RliF8rstwkp84kVZEHWasY5NogFp4Dij2Sh3mhrf15JFg777m2VTda9dtTbxhFP6wK00GN9XR1d2mElokXyjWXDvgU&p=2&fvj=1&vjs=3,"Due to the nature of the contract, work authorization in the US without visa sponsorship as well as a background investigation is required.",30+ days ago,https://www.indeed.com,,,
